3, 50, 16405, 36604, 20151
4, 50, 26605, 66504, 38001
5, 50, 39455, 106104, 62751
6, 50, 54955, 156204, 95101
7, 50, 73105, 217004, 135751
8, 50, 93905, 289304, 185401
9, 50, 117355, 373304, 244751
10, 50, 143455, 469804, 314501
11, 50, 172205, 579004, 395351
12, 50, 203605, 701704, 488001
13, 50, 237655, 838104, 593151
14, 50, 274355, 989004, 711501
15, 50, 313705, 1154604, 843751
16, 50, 355705, 1335704, 990601
17, 50, 400355, 1532504, 1152751
18, 50, 447655, 1745804, 1330901
19, 50, 497605, 1975804, 1525751
20, 50, 550205, 2223304, 1738001
21, 50, 605455, 2488504, 1968351
22, 50, 663355, 2772204, 2217501
23, 50, 723905, 3074604, 2486151
24, 50, 787105, 3396504, 2775001
25, 50, 852955, 3738104, 3084751
26, 50, 921455, 4100204, 3416101
27, 50, 992605, 4483004, 3769751
28, 50, 1066405, 4887304, 4146401
29, 50, 1142855, 5313304, 4546751
30, 50, 1221955, 5761804, 4971501
31, 50, 1303705, 6233004, 5421351
32, 50, 1388105, 6727704, 5897001
33, 50, 1475155, 7246104, 6399151
34, 50, 1564855, 7789004, 6928501
35, 50, 1657205, 8356604, 7485751
36, 50, 1752205, 8949704, 8071601
37, 50, 1849855, 9568504, 8686751
38, 50, 1950155, 10213804, 9331901
39, 50, 2053105, 10885804, 10007751
40, 50, 2158705, 11585304, 10715001
41, 50, 2266955, 12312504, 11454351
42, 50, 2377855, 13068204, 12226501
43, 50, 2491405, 13852604, 13032151
44, 50, 2607605, 14666504, 13872001
45, 50, 2726455, 15510104, 14746751
46, 50, 2847955, 16384204, 15657101
47, 50, 2972105, 17289004, 16603751
48, 50, 3098905, 18225304, 17587401
49, 50, 3228355, 19193304, 18608751
50, 50, 3360455, 20193804, 19668501
